Day Number, Animals alive, Empty spots, Number of Plants, Average energy level for living animals, Average life length for dead animals, Dominant genotype
1, 100, 6300, 0, 100, 0, 3
2, 105, 6107, 190, 88, 0, 2
3, 105, 6107, 190, 88, 0, 2
4, 105, 6107, 190, 88, 0, 2
5, 105, 6107, 190, 88, 0, 2
6, 105, 6104, 192, 87, 0, 1
7, 106, 6085, 211, 86, 0, 1
8, 106, 6085, 211, 86, 0, 1
9, 106, 6085, 211, 86, 0, 1
10, 106, 6085, 211, 86, 0, 1
11, 108, 6060, 236, 84, 0, 2
12, 108, 6038, 257, 83, 0, 7
13, 109, 6017, 276, 82, 0, 3
14, 110, 5996, 297, 81, 0, 0
15, 110, 5976, 315, 80, 0, 1
16, 110, 5952, 339, 79, 0, 0
17, 110, 5932, 359, 79, 0, 1
18, 111, 5908, 384, 77, 0, 2
19, 111, 5886, 403, 76, 0, 3
20, 111, 5862, 427, 76, 0, 3
21, 111, 5847, 442, 76, 0, 3
22, 112, 5831, 460, 75, 0, 1
23, 116, 5814, 479, 72, 0, 1
24, 120, 5791, 497, 69, 0, 6
25, 123, 5768, 517, 67, 0, 7
26, 124, 5747, 536, 65, 0, 1
27, 125, 5727, 552, 65, 0, 7
28, 125, 5709, 569, 64, 0, 1
29, 126, 5689, 588, 63, 0, 1
30, 126, 5670, 606, 63, 0, 3
31, 126, 5653, 622, 63, 0, 5
32, 126, 5636, 640, 62, 0, 3
33, 125, 5618, 658, 62, 30, 6
34, 125, 5598, 678, 61, 30, 5
35, 127, 5581, 696, 60, 30, 5
36, 128, 5562, 714, 59, 30, 1
37, 128, 5542, 730, 59, 30, 3
38, 127, 5534, 739, 60, 30, 1
39, 126, 5521, 756, 60, 30, 3
40, 128, 5513, 766, 59, 30, 3
41, 125, 5493, 784, 60, 35, 4
42, 125, 5474, 802, 60, 35, 1
43, 125, 5464, 815, 59, 35, 6
44, 125, 5443, 832, 59, 35, 6
45, 127, 5432, 846, 58, 35, 1
46, 129, 5413, 862, 57, 35, 3
47, 130, 5399, 875, 56, 35, 6
48, 131, 5386, 887, 56, 35, 1
49, 133, 5374, 899, 55, 35, 4
50, 133, 5359, 912, 55, 35, 3
51, 128, 5352, 921, 57, 40, 4
52, 129, 5336, 937, 57, 40, 4
53, 128, 5320, 953, 57, 40, 4
54, 128, 5308, 965, 57, 40, 0
55, 128, 5298, 975, 57, 40, 3
56, 129, 5287, 988, 56, 40, 2
57, 131, 5275, 1001, 55, 40, 4
58, 131, 5257, 1014, 55, 40, 7
59, 131, 5248, 1023, 56, 40, 0
60, 131, 5239, 1031, 56, 40, 3
61, 132, 5233, 1039, 56, 40, 3
62, 132, 5219, 1052, 56, 40, 2
63, 132, 5205, 1068, 55, 40, 7
64, 132, 5188, 1081, 55, 40, 5
65, 133, 5181, 1089, 55, 40, 1
66, 133, 5171, 1101, 55, 40, 1
67, 133, 5157, 1112, 55, 40, 3
68, 133, 5144, 1123, 55, 40, 6
69, 133, 5134, 1135, 55, 40, 2
70, 132, 5122, 1148, 56, 39, 3
71, 125, 5120, 1157, 59, 50, 5
72, 128, 5113, 1168, 58, 50, 6
73, 129, 5099, 1178, 57, 50, 7
74, 130, 5082, 1191, 57, 50, 5
75, 129, 5076, 1197, 58, 50, 4
76, 129, 5064, 1209, 58, 49, 1
77, 131, 5053, 1221, 57, 49, 1
78, 130, 5053, 1221, 58, 49, 3
79, 128, 4981, 1294, 61, 55, 3
80, 128, 4981, 1294, 61, 55, 3
81, 128, 4981, 1294, 61, 55, 3
82, 128, 4981, 1294, 61, 55, 3
83, 128, 4981, 1294, 61, 55, 3
84, 128, 4981, 1294, 61, 55, 3
85, 128, 4981, 1294, 61, 55, 3
86, 128, 4981, 1294, 61, 55, 3
87, 128, 4971, 1303, 61, 55, 4
88, 128, 4970, 1306, 62, 55, 2
89, 128, 4961, 1314, 62, 55, 7
90, 129, 4960, 1318, 62, 55, 1
91, 126, 4957, 1323, 64, 57, 1
92, 127, 4949, 1332, 64, 57, 7
93, 127, 4939, 1336, 65, 57, 0
94, 127, 4943, 1334, 66, 57, 1
95, 128, 4947, 1328, 67, 57, 2
96, 129, 4943, 1333, 67, 57, 4
97, 129, 4935, 1338, 68, 57, 3
98, 132, 4932, 1342, 67, 57, 7
99, 133, 4923, 1349, 67, 57, 1
100, 133, 4919, 1352, 67, 57, 1
101, 131, 4921, 1352, 69, 59, 3
102, 133, 4913, 1361, 68, 59, 4
103, 133, 4910, 1362, 69, 60, 0
104, 132, 4905, 1366, 70, 60, 4
105, 131, 4891, 1382, 72, 61, 4
106, 131, 4871, 1404, 72, 61, 4
107, 132, 4875, 1397, 72, 61, 4
108, 132, 4875, 1397, 72, 61, 4
109, 132, 4875, 1397, 72, 61, 4
110, 133, 4866, 1406, 72, 61, 7
111, 126, 4865, 1413, 76, 67, 7
112, 127, 4860, 1422, 76, 67, 3
113, 129, 4851, 1426, 75, 67, 5
114, 129, 4846, 1429, 76, 67, 3
115, 130, 4838, 1437, 76, 67, 0
116, 130, 4825, 1448, 76, 67, 4
117, 130, 4822, 1450, 77, 68, 7
118, 132, 4824, 1454, 76, 68, 1
119, 133, 4817, 1455, 76, 68, 1
120, 134, 4809, 1461, 76, 68, 4
121, 126, 4810, 1467, 82, 73, 4
122, 125, 4805, 1471, 83, 73, 7
123, 125, 4801, 1475, 84, 73, 3
124, 127, 4803, 1476, 83, 73, 4
125, 129, 4794, 1486, 82, 73, 1
126, 130, 4778, 1498, 81, 73, 7
127, 132, 4771, 1506, 80, 73, 2
128, 133, 4766, 1507, 81, 73, 3
129, 135, 4759, 1512, 80, 73, 4
130, 135, 4748, 1518, 80, 73, 0
131, 128, 4749, 1528, 85, 79, 7
132, 128, 4745, 1529, 86, 79, 6
133, 128, 4743, 1530, 87, 79, 3
134, 128, 4744, 1531, 88, 79, 3
135, 130, 4742, 1532, 87, 79, 2
136, 130, 4733, 1539, 87, 79, 3
137, 129, 4726, 1548, 88, 79, 3
138, 130, 4722, 1554, 88, 79, 3
139, 132, 4716, 1561, 87, 79, 4
140, 133, 4702, 1570, 87, 79, 1
141, 128, 4698, 1577, 91, 83, 6
142, 128, 4693, 1580, 91, 83, 4
143, 129, 4692, 1584, 91, 83, 0
144, 127, 4680, 1596, 93, 82, 4
145, 125, 4674, 1605, 94, 82, 4
146, 126, 4667, 1611, 94, 82, 2
147, 126, 4664, 1613, 95, 82, 0
148, 129, 4659, 1621, 93, 82, 1
149, 131, 4644, 1629, 92, 82, 3
150, 132, 4632, 1641, 91, 82, 4
151, 133, 4631, 1645, 91, 84, 3
152, 135, 4620, 1654, 90, 85, 3
153, 134, 4608, 1662, 91, 84, 7
154, 136, 4600, 1668, 90, 84, 4
155, 137, 4588, 1681, 89, 84, 7
156, 137, 4587, 1681, 90, 84, 1
157, 136, 4574, 1694, 91, 83, 4
158, 136, 4567, 1702, 91, 83, 7
159, 136, 4557, 1710, 91, 83, 4
160, 140, 4547, 1724, 88, 83, 3
161, 143, 4540, 1733, 87, 85, 1
162, 147, 4528, 1738, 85, 85, 0
163, 147, 4513, 1749, 85, 85, 3
164, 146, 4507, 1756, 85, 84, 3
165, 146, 4497, 1764, 85, 84, 3
166, 148, 4493, 1768, 85, 84, 4
167, 149, 4480, 1776, 84, 84, 0
168, 149, 4468, 1786, 84, 84, 0
169, 147, 4462, 1793, 86, 83, 6
170, 147, 4463, 1797, 86, 83, 3
171, 148, 4459, 1801, 86, 83, 4
172, 148, 4455, 1801, 87, 83, 4
173, 146, 4455, 1803, 88, 83, 3
174, 145, 4457, 1801, 90, 83, 1
175, 147, 4458, 1802, 89, 83, 4
176, 148, 4452, 1805, 89, 83, 4
177, 149, 4454, 1802, 89, 83, 3
178, 149, 4453, 1806, 90, 83, 2
179, 149, 4449, 1806, 91, 83, 3
180, 150, 4444, 1811, 90, 83, 4
181, 146, 4446, 1812, 93, 85, 3
182, 147, 4458, 1806, 94, 85, 4
183, 149, 4455, 1805, 93, 85, 2
184, 150, 4452, 1807, 93, 85, 3
185, 149, 4453, 1806, 95, 84, 4
186, 153, 4448, 1812, 92, 84, 6
187, 154, 4441, 1810, 93, 84, 1
188, 156, 4438, 1813, 92, 84, 5
189, 159, 4430, 1825, 90, 84, 6
190, 159, 4426, 1824, 91, 85, 3
191, 159, 4426, 1823, 91, 84, 3
192, 162, 4421, 1829, 90, 84, 7
193, 162, 4418, 1834, 90, 84, 1
194, 162, 4409, 1836, 90, 84, 1
195, 161, 4407, 1840, 91, 84, 0
196, 162, 4402, 1850, 91, 84, 3
197, 163, 4399, 1853, 90, 83, 4
198, 164, 4387, 1858, 90, 83, 4
199, 164, 4384, 1865, 90, 84, 1
200, 165, 4387, 1860, 90, 83, 4
201, 163, 4385, 1863, 92, 84, 2
202, 162, 4388, 1862, 93, 84, 3
203, 162, 4384, 1862, 93, 84, 5
204, 162, 4381, 1868, 94, 84, 0
205, 162, 4376, 1873, 94, 84, 3
206, 163, 4372, 1871, 94, 84, 2
207, 163, 4371, 1876, 94, 84, 5
208, 164, 4365, 1881, 94, 84, 5
209, 165, 4365, 1879, 94, 84, 1
210, 166, 4361, 1884, 94, 84, 3
211, 165, 4369, 1877, 95, 85, 3
212, 165, 4364, 1883, 95, 84, 6
213, 167, 4362, 1880, 95, 84, 4
214, 168, 4347, 1893, 94, 84, 3
215, 170, 4345, 1895, 93, 84, 6
216, 169, 4338, 1901, 94, 84, 6
217, 168, 4331, 1908, 95, 84, 0
218, 169, 4325, 1912, 94, 84, 4
219, 169, 4326, 1915, 94, 83, 3
220, 170, 4317, 1921, 94, 83, 3
221, 165, 4320, 1920, 97, 86, 2
222, 165, 4326, 1917, 98, 85, 6
223, 165, 4316, 1923, 98, 85, 7
224, 165, 4327, 1920, 99, 85, 4
225, 167, 4321, 1922, 98, 85, 4
226, 168, 4313, 1926, 98, 85, 3
227, 169, 4310, 1930, 98, 84, 0
228, 173, 4304, 1937, 95, 84, 3
229, 175, 4299, 1937, 95, 84, 3
230, 176, 4288, 1942, 94, 84, 5
231, 175, 4296, 1938, 96, 85, 3
232, 175, 4298, 1936, 96, 84, 4
233, 175, 4295, 1937, 96, 84, 2
234, 175, 4301, 1933, 97, 84, 7
235, 176, 4301, 1930, 97, 84, 4
236, 178, 4300, 1934, 96, 84, 3
237, 178, 4296, 1934, 97, 84, 3
238, 178, 4299, 1929, 97, 83, 5
239, 179, 4305, 1926, 97, 84, 0
240, 182, 4300, 1929, 96, 84, 2
241, 182, 4296, 1931, 96, 84, 3
242, 183, 4319, 1913, 97, 84, 2
243, 184, 4307, 1918, 97, 84, 0
244, 185, 4305, 1920, 96, 84, 7
245, 184, 4310, 1914, 98, 84, 3
246, 185, 4307, 1917, 97, 85, 3
247, 185, 4304, 1916, 98, 84, 2
248, 185, 4302, 1918, 98, 84, 4
249, 184, 4311, 1912, 99, 84, 3
250, 185, 4304, 1918, 98, 84, 7
251, 182, 4303, 1919, 101, 86, 3
252, 183, 4304, 1923, 100, 86, 7
253, 185, 4306, 1917, 100, 86, 4
254, 184, 4312, 1913, 101, 87, 7
255, 183, 4304, 1918, 101, 87, 3
256, 184, 4313, 1909, 102, 87, 6
257, 187, 4316, 1904, 101, 87, 0
258, 187, 4324, 1893, 102, 87, 0
259, 185, 4328, 1893, 103, 86, 0
260, 185, 4329, 1896, 103, 86, 4
261, 184, 4335, 1893, 104, 86, 3
262, 183, 4330, 1895, 105, 86, 2
263, 186, 4336, 1890, 104, 86, 1
264, 187, 4332, 1890, 104, 86, 3
265, 193, 4335, 1889, 101, 86, 7
266, 193, 4334, 1880, 102, 86, 7
267, 194, 4340, 1874, 102, 86, 7
268, 197, 4357, 1865, 101, 86, 0
269, 200, 4348, 1865, 100, 86, 4
270, 205, 4348, 1863, 98, 86, 0
271, 203, 4354, 1858, 99, 88, 1
272, 204, 4347, 1857, 99, 88, 7
273, 207, 4352, 1852, 98, 88, 5
274, 209, 4368, 1836, 98, 88, 0
275, 210, 4383, 1821, 98, 87, 7
276, 211, 4382, 1818, 98, 88, 0
277, 212, 4382, 1819, 98, 87, 7
278, 213, 4385, 1818, 98, 87, 4
279, 213, 4381, 1815, 98, 87, 7
280, 212, 4391, 1805, 99, 87, 3
281, 214, 4397, 1800, 98, 87, 2
282, 216, 4385, 1808, 97, 87, 1
283, 216, 4388, 1807, 98, 87, 4
284, 218, 4399, 1799, 97, 87, 5
285, 220, 4411, 1789, 97, 87, 4
286, 217, 4405, 1786, 99, 87, 7
287, 217, 4410, 1780, 99, 87, 0
288, 219, 4420, 1769, 99, 87, 7
289, 221, 4427, 1762, 98, 87, 4
290, 221, 4435, 1751, 99, 87, 1
291, 219, 4440, 1747, 100, 87, 0
292, 219, 4449, 1736, 101, 88, 4
293, 218, 4465, 1723, 102, 88, 0
294, 219, 4468, 1718, 102, 88, 5
295, 222, 4476, 1713, 101, 88, 4
296, 224, 4488, 1698, 101, 88, 0
297, 226, 4494, 1688, 101, 88, 1
298, 229, 4509, 1676, 100, 88, 0
299, 232, 4515, 1668, 99, 88, 2
300, 232, 4516, 1669, 99, 89, 4
301, 233, 4519, 1660, 99, 88, 7
302, 236, 4524, 1656, 98, 88, 4
303, 238, 4521, 1653, 97, 88, 2
304, 241, 4537, 1643, 97, 88, 0
305, 243, 4539, 1634, 96, 87, 2
306, 246, 4545, 1626, 95, 87, 3
307, 250, 4545, 1623, 94, 87, 7
308, 252, 4550, 1619, 93, 88, 7
309, 253, 4542, 1615, 93, 88, 0
310, 256, 4557, 1604, 92, 88, 1
311, 256, 4552, 1601, 93, 88, 7
312, 257, 4547, 1603, 92, 87, 1
313, 257, 4564, 1594, 92, 87, 2
314, 258, 4575, 1585, 92, 87, 0
315, 258, 4568, 1582, 93, 88, 7
316, 261, 4580, 1577, 92, 88, 0
317, 262, 4581, 1574, 91, 88, 4
318, 264, 4588, 1571, 91, 89, 0
319, 267, 4581, 1567, 90, 89, 7
320, 271, 4588, 1561, 89, 89, 4
321, 274, 4590, 1563, 87, 89, 1
322, 274, 4584, 1557, 88, 88, 3
323, 275, 4590, 1552, 87, 88, 2
324, 276, 4605, 1536, 88, 88, 2
325, 280, 4620, 1523, 87, 88, 7
326, 283, 4631, 1510, 86, 87, 2
327, 286, 4636, 1496, 86, 87, 7
328, 294, 4645, 1488, 83, 87, 4
329, 295, 4653, 1472, 83, 87, 7
330, 298, 4670, 1456, 83, 87, 1
331, 296, 4677, 1443, 84, 88, 7
332, 297, 4681, 1442, 83, 88, 0
333, 299, 4696, 1425, 83, 88, 4
334, 299, 4706, 1417, 83, 87, 7
335, 301, 4705, 1411, 83, 87, 0
336, 302, 4730, 1389, 83, 87, 4
337, 307, 4750, 1370, 82, 87, 4
338, 302, 4744, 1363, 84, 86, 0
339, 303, 4770, 1346, 84, 86, 2
340, 302, 4776, 1341, 84, 85, 0
341, 306, 4787, 1331, 83, 85, 2
342, 309, 4790, 1321, 82, 85, 4
343, 307, 4798, 1309, 83, 85, 3
344, 308, 4816, 1292, 83, 85, 2
345, 313, 4840, 1277, 82, 85, 1
346, 318, 4854, 1257, 81, 84, 7
347, 323, 4859, 1244, 80, 84, 7
348, 325, 4866, 1233, 80, 84, 6
349, 322, 4877, 1222, 81, 84, 0
350, 323, 4893, 1207, 81, 84, 3
351, 325, 4897, 1198, 80, 83, 7
352, 327, 4911, 1185, 80, 83, 3
353, 328, 4909, 1177, 80, 84, 1
354, 327, 4921, 1168, 80, 84, 4
355, 332, 4940, 1156, 79, 83, 4
356, 331, 4947, 1139, 79, 83, 4
357, 330, 4953, 1130, 80, 83, 7
358, 330, 4970, 1121, 80, 83, 0
359, 334, 4972, 1117, 79, 83, 1
360, 336, 4981, 1105, 78, 83, 7
361, 338, 4990, 1093, 78, 83, 4
362, 341, 4997, 1083, 77, 83, 7
363, 344, 4996, 1079, 76, 83, 0
364, 346, 5012, 1066, 76, 83, 7
365, 344, 5017, 1054, 77, 83, 1
366, 343, 5024, 1044, 77, 83, 0
367, 345, 5037, 1037, 76, 83, 7
368, 344, 5042, 1035, 76, 83, 0
369, 345, 5035, 1030, 76, 83, 7
370, 346, 5042, 1029, 75, 83, 4
371, 345, 5048, 1020, 76, 84, 4
372, 347, 5065, 1007, 75, 84, 1
373, 352, 5064, 1001, 74, 84, 1
374, 350, 5065, 996, 74, 85, 2
375, 353, 5074, 992, 74, 85, 4
376, 354, 5084, 973, 74, 85, 4
377, 356, 5089, 974, 73, 84, 7
378, 361, 5088, 967, 72, 84, 2
379, 360, 5100, 958, 72, 85, 0
380, 361, 5104, 958, 71, 85, 4
381, 361, 5104, 951, 71, 86, 1
382, 359, 5118, 937, 72, 86, 3
383, 357, 5125, 936, 72, 86, 7
384, 355, 5128, 930, 72, 86, 2
385, 355, 5139, 919, 72, 86, 2
386, 357, 5136, 915, 72, 86, 1
387, 360, 5142, 916, 71, 85, 0
388, 360, 5139, 912, 71, 85, 7
389, 361, 5146, 905, 70, 85, 4
390, 360, 5157, 899, 70, 86, 6
391, 363, 5163, 894, 70, 86, 1
392, 365, 5170, 883, 69, 86, 2
393, 365, 5180, 875, 69, 86, 7
394, 365, 5184, 866, 69, 86, 4
395, 367, 5196, 859, 69, 86, 4
396, 368, 5200, 855, 68, 86, 1
397, 362, 5204, 855, 69, 85, 3
398, 363, 5198, 860, 68, 85, 7
399, 364, 5185, 864, 68, 85, 5
400, 362, 5199, 861, 68, 85, 3
